0	803	54
1	807	54
2	803	54
3	803	54
4	807	54
5	799	60
6	799	60
7	803	54
8	798	60
9	803	54
10	799	60
11	803	54
12	803	54
13	803	54
14	798	60
15	799	60
16	803	54
17	798	60
18	803	54
19	798	60
20	803	54
21	803	54
22	807	54
23	803	54
24	803	54
25	790	67
26	803	54
27	807	54
28	803	54
29	803	54
30	803	54
31	803	54
32	798	60
33	803	54
34	798	62
35	798	60
36	803	54
37	803	54
38	798	60
39	803	54
40	798	60
41	807	54
42	803	54
43	803	54
44	798	60
45	798	60
46	798	60
47	803	54
48	798	60
49	790	67
50	798	60
51	798	60
52	798	60
53	803	54
54	803	54
55	803	54
56	798	60
57	798	60
58	801	54
59	806	54
60	801	54
61	798	60
62	803	54
63	803	54
64	801	54
65	787	67
66	798	60
67	798	60
68	801	54
69	798	60
70	787	67
71	801	54
72	803	54
73	798	60
74	801	54
75	801	54
76	806	54
77	801	54
78	801	54
79	801	54
80	787	67
81	806	54
82	798	60
83	801	54
84	801	54
85	801	54
86	798	60
87	801	54
88	798	60
89	798	60
90	798	60
91	806	54
92	801	54
93	801	54
94	801	54
95	799	54
96	806	54
97	799	54
98	801	54
99	799	48
100	799	54
101	799	54
102	787	67
103	799	54
104	801	54
105	787	67
106	801	54
107	801	54
108	798	60
109	801	54
110	799	54
111	799	54
112	801	54
113	806	54
114	799	54
115	799	54
116	799	54
117	799	54
118	798	60
119	806	54
120	798	60
121	798	60
122	799	54
123	806	54
124	798	60
125	799	54
126	799	54
127	799	54
128	799	54
129	787	67
130	798	60
131	798	60
132	798	60
133	798	60
134	787	67
135	798	60
136	798	60
137	799	55
138	798	62
139	798	60
140	799	55
141	799	54
142	799	54
143	799	54
144	799	54
145	798	62
146	799	54
147	798	60
148	798	60
149	799	54
150	799	54
151	798	60
152	798	60
153	798	60
154	799	54
155	799	54
156	799	54
157	799	54
158	806	54
159	806	54
160	798	60
161	799	54
162	799	54
163	787	67
164	799	54
165	799	54
166	798	60
167	798	60
168	799	54
169	799	54
170	798	60
171	799	54
172	798	60
173	798	60
174	799	54
175	799	54
176	799	54
177	787	67
178	798	60
179	799	54
180	799	54
181	799	54
182	799	54
183	799	54
184	806	54
185	798	60
186	799	54
187	787	67
188	787	67
189	799	54
190	799	54
191	799	54
192	799	54
193	799	54
194	799	54
195	799	54
196	798	60
197	798	60
198	787	67
199	799	48
200	798	60
201	799	54
202	799	54
203	787	67
204	799	54
205	798	60
206	799	54
207	799	54
208	799	54
209	787	67
210	798	60
211	798	60
212	799	54
213	798	60
